"RcptCode","RcptNo","ROCode","RONo","RcptDate","RcptAmt","PayMode","ChqNo","BankName","Rmk"
$43.00,$1642.00,$138.00,$2192.00,1-9-2017 0:00:00,$400.00,"CASH","","",""
$44.00,$1643.00,$126.00,$2180.00,4-9-2017 0:00:00,$1700.00,"CASH","","",""
$45.00,$1644.00,$127.00,$2181.00,4-9-2017 0:00:00,$1800.00,"CASH","","",""
$58.00,$1657.00,$147.00,$2201.00,9-9-2017 0:00:00,$938.00,"CASH","---","----","---"
$32.00,$1631.00,$103.00,$2157.00,18-8-2017 0:00:00,$11417.00,"CASH","004792","",""
$195.00,$1793.00,$421.00,$2475.00,16-2-2018 0:00:00,$200000.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$46.00,$1645.00,$142.00,$2196.00,5-9-2017 0:00:00,$2420.00,"CASH","","","AFTER DISCOUNT 5%"
$48.00,$1647.00,$9.00,$2071.00,1-1-2001 0:00:00,$1800.00,"NEFT / RTGS","","","NEFT DEEPAK ACCOUNT"
$49.00,$1648.00,$97.00,$2151.00,1-1-2001 0:00:00,$3531.00,"CASH","","",""
$50.00,$1649.00,$68.00,$2126.00,1-1-2001 0:00:00,$475.00,"","","",""
$51.00,$1650.00,$143.00,$2197.00,6-9-2017 0:00:00,$1800.00,"NEFT / RTGS","","KARNATAKA BANK LTD.","AFTER DISCOUNT"
$54.00,$1653.00,$59.00,$2117.00,7-9-2017 0:00:00,$21186.00,"CHEQUE","999409","SBI",""
$55.00,$1654.00,$125.00,$2179.00,29-8-2017 0:00:00,$10000.00,"CASH","","",""
$56.00,$1655.00,$129.00,$2183.00,30-8-2017 0:00:00,$5513.00,"CASH","","",""
$57.00,$1656.00,$117.00,$2171.00,4-8-2017 0:00:00,$858000.00,"NEFT / RTGS","","KARNATAKA BANK LTD",""
$59.00,$1658.00,$83.00,$2137.00,9-9-2017 0:00:00,$9770.00,"CHEQUE","353802","PUNJAB NATIONAL BANK ",""
$61.00,$1660.00,$75.00,$2129.00,11-9-2017 0:00:00,$51065.06,"CHEQUE","000880","HDFC BANK","RO-2095 AND 2129"
$63.00,$1662.00,$154.00,$2208.00,13-9-2017 0:00:00,$3290.00,"CASH","----","-----","AFTER 5 % DISCOUNT"
$60.00,$1659.00,$8.00,$2070.00,2-8-2017 0:00:00,$50596.00,"CHEQUE","000850","HDFC",""
$65.00,$1664.00,$6.00,$2068.00,20-9-2017 0:00:00,$94256.00,"CHEQUE","700955","CANARA BANK ",""
$66.00,$1665.00,$71.00,$2057.00,19-9-2017 0:00:00,$82231.00,"CHEQUE","NEFT","KARNATAKA BANK",""
$64.00,$1663.00,$104.00,$2158.00,15-9-2017 0:00:00,$23453.00,"CHEQUE","586310","SYNDICATE BANK",""
$67.00,$1661.00,$157.00,$2211.00,11-9-2017 0:00:00,$70200.00,"CHEQUE","211911","PNB",""
$52.00,$1651.00,$135.00,$2189.00,11-9-2017 0:00:00,$1000.00,"NEFT / RTGS","NEFT","KARNATAKA BANK LTD",""
$53.00,$1652.00,$135.00,$2189.00,11-9-2017 0:00:00,$10129.00,"NEFT / RTGS","NEFT","KARNATAKA BANK LTD.",""
$68.00,$1666.00,$145.00,$2199.00,9-9-2017 0:00:00,$200000.00,"NEFT / RTGS","NEFT","KARNATAKA BANK LTD.",""
$69.00,$1667.00,$165.00,$2219.00,25-9-2017 0:00:00,$27469.26,"CASH","---","----","ADJUST IN 40,000/-"
$70.00,$1668.00,$176.00,$2230.00,25-9-2017 0:00:00,$1595.79,"CASH","---","----","ADJUST IN 40 THOUSANDS"
$71.00,$1669.00,$180.00,$2234.00,25-9-2017 0:00:00,$300.00,"CASH","---","-----","AFTER DISCOUNT"
$72.00,$1670.00,$132.00,$2186.00,19-9-2017 0:00:00,$23454.00,"CASH","----","----","RO- 2186"
$73.00,$1671.00,$72.00,$2059.00,26-9-2017 0:00:00,$87713.00,"NEFT / RTGS","----","KARNATAKA BANK LTD.",""
$74.00,$1672.00,$184.00,$2238.00,27-9-2017 0:00:00,$470.00,"CASH","----","------","PUBLISH DATE - 29-9-2017"
$75.00,$1673.00,$122.00,$2176.00,29-9-2017 0:00:00,$8240.00,"CASH","---","---","CASH"
$76.00,$1674.00,$179.00,$2233.00,3-10-2017 0:00:00,$9200.00,"CASH","---","----",""
$77.00,$1675.00,$156.00,$2210.00,29-9-2017 0:00:00,$47128.00,"CHEQUE","814711","SYNDICATE BANK",""
$78.00,$1676.00,$162.00,$2216.00,26-9-2017 0:00:00,$4947.00,"NEFT / RTGS","----","KARNATAKA BANK LTD.","RO- 2215 & 2216"
$79.00,$1677.00,$42.00,$2102.00,29-8-2017 0:00:00,$31780.00,"CHEQUE","910005","PNB","RO- 2102"
