"MBNo","MBDate","ROCode","RONo","Amt"
"UP-I-1920-231704",28-1-2020 0:00:00,$2383.00,$4438.00,$1708.25
"UP-I-1920-248530",17-2-2020 0:00:00,$2445.00,$4500.00,$5877.11
"UP-I-1920-245829",17-3-2020 0:00:00,$2444.00,$4499.00,$1901.03
"UP-I-1920-253639",24-2-2020 0:00:00,$2463.00,$4518.00,$18634.40
"UP-I-1920-253539",24-3-2020 0:00:00,$2459.00,$4514.00,$1815.35
"UP-I-1920-253554",24-2-2020 0:00:00,$2469.00,$4524.00,$854.12
"UP-I-1920-253558",24-2-2020 0:00:00,$2468.00,$4523.00,$854.12
"UP-I-1920-205195",23-12-2019 0:00:00,$2279.00,$4334.00,$1708.25
"UP-I-1920-228732",23-1-2020 0:00:00,$2396.00,$4451.00,$4969.44
"UP-I-1920-243089",8-2-2020 0:00:00,$2431.00,$4486.00,$4284.00
"UP-I-1920-244051",10-2-2020 0:00:00,$2378.00,$4433.00,$1708.25
"UP-I-1920-242952",7-2-2020 0:00:00,$2378.00,$4433.00,$2562.37
"U-I-1920-254824",25-2-2020 0:00:00,$2392.00,$4447.00,$1622.57
"UP-I-1920-242969",7-2-2020 0:00:00,$2392.00,$4447.00,$1622.57
"UP-I-1920-261644",3-3-2020 0:00:00,$2478.00,$4533.00,$0.00
"UP-I-1920-259080",29-2-2020 0:00:00,$2478.00,$4533.00,$1708.25
"UP-I-1920-261652",3-2-2020 0:00:00,$2483.00,$4538.00,$854.12
"UP-I-1920-263116",5-3-2020 0:00:00,$2486.00,$4541.00,$1708.25
"UP-I-2021-015862",29-5-2020 0:00:00,$2607.00,$4662.00,$4284.00
"DOM/2019-20/142",2-6-2020 0:00:00,$2621.00,$4676.00,$2596.00
"UP-I-2021-021220",9-6-2020 0:00:00,$2617.00,$4672.00,$4284.00
"NMB010955/20-21",6-5-2020 0:00:00,$2584.00,$4639.00,$5355.00
"NMB010965/20-21",31-5-2020 0:00:00,$2584.00,$4639.00,$5355.00
"NMB010982/20-21",25-5-2020 0:00:00,$2585.00,$4640.00,$5355.00
"NMB011100/20-21",31-5-2020 0:00:00,$2585.00,$4640.00,$5355.00
"11",29-6-2020 0:00:00,$2659.00,$4714.00,$2950.00
"",17-6-2020 0:00:00,$2659.00,$4714.00,$9735.00
"AD1909014850",17-3-2020 0:00:00,$2546.00,$4601.00,$50231.00
"SR0/20-6/18081",17-6-2020 0:00:00,$2644.00,$4699.00,$28560.00
"UP-I-2021-039003",17-7-2020 0:00:00,$2693.00,$4748.00,$20027.70
